Speak only english,% Hispanic,% Hispanic Population Foreign Born,Hispanic Median Household Income
38.84583677,39.15123778,27.56186428,76.667
50.23438352,31.81423611,23.31904112,97.713
42.01819686,11.61029348,36.06375093,63.307
71.29428778,7.219552101,32.93201133,194.605
42.10526316,12.85960676,34.49570815,117.083
42.58111557,11.55859539,31.20661157,60.147
67.6702509,10.34841076,24.39456586,131.364
47.70414495,12.18932419,37.34880276,78.056
60.85463564,10.32110935,35.99429793,102.426
34.2478941,24.44030936,16.34546752,41.25
58.91354246,8.610731269,30.95520265,96.389
44.38146049,6.374479256,42.34556849,96.848
41.74836601,19.58568738,40.70512821,88.421
73.49137931,8.116830725,38.27037773,178.75
28.18675889,25.81365478,37.31149047,80.058
16.0172817,43.18171023,49.21170345,57.165
48.62764149,17.09268147,32.82542447,92.716
31.94356707,25.94986785,36.86668829,76.376
59.932341,14.19008412,25.95862765,86.913
42.31611713,31.09696297,29.48505842,69.449
51.77650007,16.31695077,28.64907862,70.05
56.96449473,15.67832644,22.03941421,83.204
43.84739387,7.866935484,40.28703229,76.518
37.24010731,22.19445555,42.57618976,77.083
39.93696533,31.19780482,23.32695985,41.528
49.19655333,18.13346598,30.25954843,104.16
55.48507463,8.07989618,43.50558659,95.359
42.76169265,12.41856863,36.97725605,87.8
43.62002115,17.85317669,38.32051072,67.446
60.63186198,14.73283931,30.61989852,129.023
21.54559737,36.54356622,44.51339915,69.375
49.67871486,16.37964834,35.90498987,71.176
61.99498468,11.24720581,35.8017969,122.77
28.76679347,24.13918007,36.23135686,61.349
51.14909343,21.12107423,28.21839687,101.053
42.37906589,19.82926493,35.91905565,102.003
51.18225878,15.72863248,29.31666893,95.692
59.99440872,14.15285763,16.53524492,152.096
6.615540769,87.7801591,46.63149183,51.848
9.545261712,77.65076977,45.97696866,61.674
10.0115135,70.5041836,45.03452706,67.918
20.55652763,41.66349529,39.55648026,80.111
13.78750658,70.52142777,41.00357001,60.181
10.74028471,82.45631339,44.06587053,75.941
51.77017523,16.48376732,27.58841074,92.263
20.30681329,47.85626649,38.23839292,68.234
35.29241459,15.69485358,30.16836876,81.321
17.37103201,60.58804096,42.11856845,63.022
14.45788038,63.19497334,44.82524857,54.931
23.49083359,47.81293444,35.10036984,62.785
11.60873529,73.52641048,44.6631727,60.963
20.87874325,56.66548349,39.12304251,69.228
46.17654,25.81612352,30.38098339,90.92
56.75270108,17.64878192,26.74965422,91.31
48.27799364,33.04253288,21.73180323,74.583
77.53058954,20.73070608,22.77227723,128.75
33.17255329,38.25584197,30.84942625,59.387
26.8154591,51.19789449,35.15270638,55.618
30.80899898,37.66949557,34.17881733,68.139
44.40145103,18.82012921,32.54290876,68.605
17.99300394,45.16305837,38.697411,66.105
22.01616245,31.10742431,37.6,61.624
14.52471483,45.19872848,40.9326914,68.268
23.51247601,19.16425892,39.7389739,64.375
76.92307692,18.06673631,11.02040816,131.429
41.59867565,33.25263511,23.74551971,100.893
30.79800499,38.82597755,36.75682413,87.232
37.37056213,36.31051753,32.06012378,74.554
27.59402759,39.31922517,33.50609409,68.203
23.0140465,50.06648936,31.05356352,61.551
30.43950535,34.83146067,37.26819386,92.88
40.79356846,39.07649254,29.49152542,70.62
28.28156833,54.27180816,33.86320773,63.994
41.17763444,39.95922821,25.79578932,95.28
45.52126269,31.68709552,24.01882353,71.134
32.95113931,51.16860068,31.08775113,65.742
52.25038333,33.54019982,20.70195818,115.241
64.24689441,16.65879017,18.69976359,116.842
59.88960442,17.2246652,21.84508268,182.65
26.93074042,43.3757254,38.13692001,58.333
47.77675761,32.59989541,19.10165766,71.929
45.58863949,37.02458366,24.76010966,83.552
45.30055936,30.12830254,24.13892492,72.944
52.42678959,21.80461556,18.62358479,96.902
21.22054734,43.71246697,45.74804231,67.97
30.86939262,73.18917116,24.79112866,69.706
43.95544193,30.9582437,31.22069658,81.586
29.02061856,28.45800251,27.16593245,72.221
30.19157088,20.53279719,51.06487148,73.953
18.90645586,75.74886173,39.10380983,62.312
11.76534057,84.09581941,44.42931349,59.61
32.4922197,42.6040744,29.49784104,79.671
26.53755222,69.65034675,32.37442242,68.764
33.99866933,88.66995074,27.22222222,52.969
30.88079524,56.67961005,30.47153998,64.451
23.40791017,78.17783436,34.84452524,57.636
47.18326599,25.2701123,28.89184832,94.643
37.97311737,26.83901325,30.1727268,85.205
21.15677321,42.17391304,31.44329897,79.265
18.0692888,47.21239361,47.08662481,51.547
21.96055684,45.09202454,40.51398337,70.199
23.56624918,23.71693817,43.44165436,75.651
43.22709163,9.893279492,53.54713314,103.341
43.40065759,20.20239532,36.39705882,34.354
46.61654135,25.81755594,27.2183908,65.041
28.46441948,23.7232385,42.69034298,88.91
34.52964918,28.87473098,30.10351967,48.134
10.75630252,82.65822785,38.51454824,34.423
38.93102203,68.89772993,25.57744565,50.983
8.591602436,93.89286029,39.106119,38.812
10.62733609,85.71869455,41.83618362,39.269
16.18150685,77.81690141,35.8974359,29.872
34.4255938,59.88765271,30.52545306,47.7
26.97750245,69.7178576,27.25374601,38.455
16.70383817,77.21168893,36.42833577,40.391
7.792501982,93.47593583,42.51092157,31.367
31.45451106,42.32429754,29.33110368,34.318
15.30551944,88.64315043,35.04579429,41.199
36.59632227,50.82908069,26.36265751,51.112
5.337848734,94.23521414,52.57538595,26.229
9.248055315,85.83629893,37.11995578,39.688
0,96.86998395,55.84092792,55.625
7.486706842,94.66975666,41.03588224,41.146
15.26162791,66.60909614,42.04840104,43.094
48.63018955,38.4537422,18.28749071,48.079
